GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV1AA,AV1AB,B57AA,B57AB,B57AC,B57AD,B57AE,B57AF,B57AG,B57AH,B57AI,B57AJ,B57AK,B57AL,B57AM,B57AN,B57AO,B57AP,B57AQ,B57AR,B18AA,B18AB,B18AC,B18AD,B86AA,B86AB,B86AC
G010,2000,Alabama,1,10,Alabama,4447100,2146504,2300596,295992,315345,320252,191833,132747,66614,63146,177105,301196,301819,685512,600209,225450,78966,111116,316748,195749,67301,3162808,1155930,22430,61753,2749184,375494,199810
G020,2000,Alaska,2,20,Alaska,626932,324112,302820,47591,53771,56661,32694,17400,8341,7927,23624,42987,46486,114049,94952,27423,7726,9601,22507,10558,2634,434534,21787,98043,38422,340345,63354,32726
G040,2000,Arizona,4,40,Arizona,5130632,2561057,2569575,382386,389869,378211,216481,151241,76165,71929,214766,374106,368559,768804,627904,238675,84016,119681,363841,235473,68525,3873611,158873,255879,695743,2972585,520675,274671
G050,2000,Arkansas,5,50,Arkansas,2673400,1304693,1368707,181585,187224,192935,118625,80140,39532,37020,105046,176674,176171,398127,349519,139393,48821,68569,198334,129193,46492,2138598,418950,17808,62300,1692446,201863,99033
G060,2000,California,6,60,California,33871648,16874892,16996756,2486981,2725880,2570822,1466146,984742,490829,470556,1419903,2543541,2685521,5485341,4331635,1467252,488645,658196,1887823,1282178,425657,20170059,2263882,333346,9496715,18754532,3847654,2047999
G080,2000,Colorado,8,80,Colorado,4301261,2165983,2135278,297505,308428,311497,183365,123873,62281,60239,183718,331795,332232,736823,614125,194722,61959,82626,226310,141547,48216,3560005,165063,44241,409765,2258436,635010,311025
G090,2000,Connecticut,9,90,Connecticut,3405565,1649319,1756246,223344,244144,241587,132613,84014,40402,38804,108365,201467,250173,581049,480807,176961,56131,75521,231565,174345,64273,2780355,309843,9639,230880,1814728,444570,306693
G100,2000,Delaware,10,100,Delaware,783600,380541,403059,51531,55813,55274,31969,23663,11681,10917,29067,51219,57621,127601,103999,39320,13481,18718,56415,34762,10549,584773,150666,2731,32397,454626,86093,48919
G110,2000,District Of Columbia,11,110,District of Columbia,572059,269366,302693,32536,35385,30018,17053,20814,11024,10314,30485,52849,48913,87677,75310,27803,9536,12444,35919,25004,8975,176101,343312,1713,37487,293287,82454,81986
G120,2000,Florida,12,120,Florida,15982378,7797715,8184663,945823,1031718,1057024,611775,402292,197368,184910,546032,995358,1088742,2485247,2069479,821517,299287,438209,1452176,1024134,331287,12465029,2335505,53541,751988,9800635,1650197,896974
G130,2000,Georgia,13,130,Georgia,8186453,4027113,4159340,595150,615584,607759,350741,245536,125148,117767,349281,641750,657506,1353508,1079992,375651,122259,163546,435695,261723,87857,5327281,2349542,21737,373705,4700512,885664,434503
G150,2000,Hawaii,15,150,Hawaii,1211537,608671,602866,78163,84980,83106,49518,31484,16957,17015,49437,84000,87159,191177,170979,60561,19566,26834,85262,57775,17564,294102,22003,3535,632554,700369,148840,68003
G160,2000,Idaho,16,160,Idaho,1293953,648660,645293,97643,100756,104608,66023,44835,19868,19396,54730,85128,84305,192968,170248,60024,20324,27181,75970,51889,18057,1177304,5456,17645,67939,750024,121715,54083
G170,2000,Illinois,17,170,Illinois,12419293,6080336,6338957,876549,929858,905097,533947,360055,179332,167603,503908,891759,919915,1983870,1626742,577747,195386,267500,772247,535747,192031,9125471,1876875,31006,1150925,6981367,1429982,768715
G180,2000,Indiana,18,180,Indiana,6080485,2982474,3098011,423215,443273,443416,264492,188990,95673,89190,240868,409035,422090,960703,816865,294169,99818,135857,395393,265880,91558,5320022,510034,15815,158942,3710948,513992,282739
G190,2000,Iowa,19,190,Iowa,2926324,1435515,1490809,188413,202603,210547,132075,94345,47185,43184,113294,177259,185801,445199,392794,139052,48874,69486,211935,159160,65118,2748640,61853,8989,75064,1768213,300811,124966
G200,2000,Kansas,20,200,Kansas,2688418,1328474,1359944,188708,195574,204018,124693,85425,42487,39085,108595,172975,175878,420351,354147,121645,41252,57356,175916,128543,51770,2313944,154198,24936,138844,1517277,310025,149896
G210,2000,Kentucky,21,210,Kentucky,4041769,1975368,2066401,265901,279258,279481,170178,118826,60868,57540,164624,281134,286974,642665,556932,204483,71143,96969,273943,172589,58261,3640889,295994,8616,53827,2571040,293058,183830
G220,2000,Louisiana,22,220,Louisiana,4468976,2162903,2306073,317392,336780,347912,217715,148230,71946,67101,186524,296161,305001,691966,586271,208761,71817,98470,282925,175328,58676,2856161,1451944,25477,87129,2704432,363666,182425
G230,2000,Maine,23,230,Maine,1274923,620309,654614,70726,83022,92252,55238,34247,15330,14805,39521,71951,85666,212980,192596,68490,22367,32330,96196,63890,23316,1236014,6760,7098,12404,768174,136459,69312
G240,2000,Maryland,24,240,Maryland,5296486,2557794,2738692,353393,391318,392135,219326,136793,66616,62571,184942,342870,405651,916156,755032,268647,86667,115062,321285,211120,66902,3391308,1477411,15423,308757,2796362,672855,473850
G250,2000,Massachusetts,25,250,Massachusetts,6349097,3058816,3290281,397268,430861,431247,240688,175049,86049,81961,236269,434024,492764,1062995,873353,310002,99290,137115,427830,315640,116692,5367286,343454,15015,477337,3348265,915270,589595
G260,2000,Michigan,26,260,Michigan,9938444,4873095,5065349,672005,745181,747012,431569,288298,140244,134087,369508,654629,707542,1598373,1367939,485895,159433,217711,642880,433678,142460,7966053,1412742,58479,308754,5883823,940228,521798
G270,2000,Minnesota,27,270,Minnesota,4919479,2435631,2483848,329594,355894,374995,226411,147951,70334,65906,186243,319826,353312,824182,665696,226857,75503,102509,295825,212840,85601,4400282,171731,54967,209757,2720332,647612,264996
G280,2000,Mississippi,28,280,Mississippi,2844658,1373554,1471104,204364,216920,218742,135161,98027,47999,44153,120795,192526,189272,425372,361981,132202,47422,66199,185710,114922,42891,1746099,1033809,11652,33077,1757566,208440,104248
G290,2000,Missouri,29,290,Missouri,5595211,2720177,2875034,369898,398898,412080,246816,166480,81184,76006,212308,362305,376428,887569,742462,279073,95840,132485,393226,263582,98571,4748083,629391,25076,110600,3342995,546847,279267
G300,2000,Montana,30,300,Montana,902195,449480,452715,54869,61963,69298,43932,27378,12889,12143,33347,51104,52175,141941,135088,47174,15906,22039,62519,43093,15337,817229,2692,56068,10476,523751,105908,42592
G310,2000,Nebraska,31,310,Nebraska,1711263,843351,867912,117048,123445,128934,80815,54094,26068,24849,69414,112049,111224,263834,225754,77584,26258,37698,115699,82543,33953,1533261,68541,14896,70612,989694,192231,79723
G320,2000,Nevada,32,320,Nevada,1998257,1018051,980206,145817,149322,139193,77467,49702,25378,25027,79601,148726,157885,321961,269050,105057,35967,49175,131775,70165,16989,1501886,135477,26420,258046,1243494,164749,80283
G330,2000,New Hampshire,33,330,New Hampshire,1235786,607687,628099,75685,88537,93255,52085,34603,15858,15053,37855,71355,88706,221179,183986,62664,19860,27135,78327,51412,18231,1186851,9035,2964,23722,681895,162401,82589
G340,2000,New Jersey,34,340,New Jersey,8414350,4082813,4331537,563785,604529,590577,328667,196549,96770,94284,289025,544917,644123,1435106,1158898,423338,139928,190718,574669,402468,135999,6104705,1141821,19492,934577,4568361,1137462,627053
G350,2000,New Mexico,35,350,New Mexico,1819046,894317,924729,130628,141171,147309,89466,56285,26641,24702,69948,115387,118704,282009,245819,87140,30051,41561,117745,71174,23306,1214253,34343,173483,330640,1038206,160781,112491
G360,2000,New York,36,360,New York,18976457,9146748,9829709,1239417,1351857,1332433,766400,521144,260034,249264,735011,1304725,1452599,3074298,2552936,932008,319811,436168,1276046,860818,311488,12893689,3014385,82461,2395740,10662233,2143379,1496654
G370,2000,North Carolina,37,370,North Carolina,8049313,3942695,4106618,539509,562553,551367,310618,229313,122685,117974,336849,601522,611893,1287120,1085150,400207,134692,188813,533777,329810,105461,5804656,1737545,99551,304301,4838019,867713,382264
G380,2000,North Dakota,38,380,North Dakota,642200,320524,321676,39400,42982,47464,31003,22615,11633,10800,28070,38792,38095,98004,85431,28926,9888,14619,45901,33851,14726,593181,3916,31329,6376,386550,72281,22470
G390,2000,Ohio,39,390,Ohio,11353140,5512262,5840878,754930,816346,827811,489252,327616,160084,150861,417983,735582,784312,1805316,1566384,553174,190279,265453,790252,540709,176796,9645453,1301307,24486,224009,6826363,1089588,552048
G400,2000,Oklahoma,40,400,Oklahoma,3450654,1695895,1754759,236353,244525,252029,159453,109920,54754,50548,141863,229026,222621,523522,453761,173199,59892,83238,242499,156276,57175,2628434,260968,273230,132037,2093869,315545,150976
G410,2000,Oregon,41,410,Oregon,3421399,1696550,1724849,223005,234474,242098,146949,97478,48047,45575,136784,233850,236845,526574,507155,173008,55894,75486,219342,161404,57431,2961623,55662,45211,254158,1989979,390259,196891
G420,2000,Pennsylvania,42,420,Pennsylvania,12281054,5929663,6351391,727804,827945,863849,502623,348363,168194,159135,418757,732701,827785,1948076,1705032,619969,210894,300762,969272,712326,237567,10484203,1224612,18348,411667,7410793,1250172,701101
G440,2000,Rhode Island,44,440,Rhode Island,1048319,503635,544684,63896,71905,71370,40651,34794,17258,16109,38446,64732,75594,170310,141863,49982,16298,22709,73684,57821,20897,891191,46908,5121,76848,612856,119675,68279
G450,2000,South Carolina,45,450,South Carolina,4012012,1948929,2063083,264679,285243,290479,169240,126137,62103,58504,161107,276855,283976,625124,550321,206762,69909,96240,270048,165016,50269,2695560,1185216,13718,77568,2444857,377855,180207
G460,2000,South Dakota,46,460,South Dakota,754844,374558,380286,51069,54486,59463,37631,24832,12175,11097,29530,45084,45929,115386,97682,33611,11780,16958,53129,38916,16086,669404,4685,62283,8316,444811,78586,28721
G470,2000,Tennessee,47,470,Tennessee,5689283,2770275,2919008,374880,395813,395155,232673,162511,81801,78907,225637,403829,412072,902527,786916,293942,100479,138830,382852,238994,81465,4563310,932809,15152,114903,3523211,512166,256670
G480,2000,Texas,48,480,Texas,20851820,10352910,10498910,1624628,1654184,1631192,976755,659477,323645,305288,910471,1591522,1570561,3322238,2611137,896521,295009,406660,1142608,691984,237940,14799505,2404566,118362,3014754,11876046,2115896,985948
G490,2000,Utah,49,490,Utah,2233169,1119031,1114138,209378,193033,192288,123999,92279,43149,46342,135661,178474,148590,299536,237710,80053,26447,36008,101548,66923,21751,1992975,17657,29684,145658,1188177,228169,99992
G500,2000,Vermont,50,500,Vermont,608827,298337,310490,33989,41101,45397,27036,18734,9222,8326,20304,34182,40385,101889,93832,32603,10212,14105,40683,26831,9996,589208,3063,2420,6801,336901,79255,45092
G510,2000,Virginia,51,510,Virginia,7078515,3471895,3606620,461982,495084,495955,285241,198824,101546,97926,281102,497172,539793,1200690,999256,358442,116718,156451,432456,272611,87266,5120110,1390293,21172,403871,3899193,898787,544711
G530,2000,Washington,53,530,Washington,5894121,2934300,2959821,394306,425909,434836,258792,169176,83126,78453,228606,403652,437478,975087,845972,285505,90326,120749,337166,240897,84085,4821823,190267,93301,575211,3283967,741366,359008
G540,2000,West Virginia,54,540,West Virginia,1808344,879170,929174,101805,111150,116182,73256,52322,26749,25050,68310,113577,115517,272249,270466,98916,35525,50375,148463,96653,31779,1718777,57232,3606,12941,1213981,118392,74196
G550,2000,Wisconsin,55,550,Wisconsin,5363675,2649041,2714634,342340,379484,403074,243858,163337,80549,74769,201974,333913,372255,875522,732306,252742,85316,119683,355307,251621,95625,4769857,304460,47228,175235,3178465,566896,250928
G560,2000,Wyoming,56,560,Wyoming,493782,248374,245408,30940,34127,38376,25430,16473,7633,6964,18858,30084,29770,78765,74079,24935,8303,11352,31343,19615,6735,454670,3722,11133,15374,293848,49561,22276
G010,2010,Alabama,1,10,Alabama,4779736,2320188,2459548,304957,308229,319655,199618,143853,72318,68473,194531,311034,297888,619501,693854,311906,116144,159983,370501,211607,75684,3275394,1251311,28218,153562,2909119,479056,258922
G020,2010,Alaska,2,20,Alaska,710231,369628,340603,53996,50887,50816,31679,20462,10628,10577,33214,55419,47706,92974,111026,49971,16471,19467,35350,14877,4711,473576,23263,104871,56646,397715,83063,43735
G040,2010,Arizona,4,40,Arizona,6392017,3175823,3216194,455715,453680,448664,270955,190627,93756,89342,259486,439998,416695,822494,842546,375268,144092,206868,497892,280539,103400,4667121,259008,296529,951059,3638136,742552,405640
G050,2010,Arkansas,5,50,Arkansas,2915918,1431637,1484281,197689,196877,197559,119350,84455,42770,40770,116110,192153,183739,366208,407266,183960,69489,97542,234602,133977,51402,2245229,449895,22248,141536,1809435,268497,129056
G060,2010,California,6,60,California,37253956,18517830,18736126,2531333,2505839,2590930,1666938,1157002,573642,555775,1636532,2744409,2573468,5182710,5252371,2204296,786276,1045921,2275336,1370210,600968,21453934,2299072,362801,11322765,20370421,4973155,2698686
G080,2010,Colorado,8,80,Colorado,5029196,2520662,2508534,343960,348603,332654,200392,139083,69437,67385,211793,372459,353819,699644,742698,328364,115654,153626,309960,170052,69613,4089202,201737,56010,509791,2547477,831705,443392
G090,2010,Connecticut,9,90,Connecticut,3574097,1739614,1834483,202106,222571,240265,152073,98761,48139,46335,133424,214145,206232,484438,575597,240157,84356,118939,254944,166717,84898,2772410,362296,11256,335459,1837766,533454,388781
G100,2010,Delaware,10,100,Delaware,897934,434939,462995,55886,56486,56848,36545,28038,14041,13372,35454,57603,53814,116087,133554,57816,21688,31425,72453,41080,15744,618617,191814,4181,59468,513860,110834,69836
G110,2010,District Of Columbia,11,110,District of Columbia,601723,284222,317501,32613,26147,25041,17014,22905,12516,11777,39817,69649,55096,80659,75703,34274,12871,16832,36969,21525,10315,231471,305125,2079,45732,266873,113138,121762
G120,2010,Florida,12,120,Florida,18801310,9189355,9611955,1073506,1080255,1130847,717483,510899,258030,248602,722126,1179227,1110318,2431254,2741493,1202418,458751,676499,1727940,1097537,434125,14109162,2999862,71458,1148251,11313004,2329986,1239789
G130,2010,Georgia,13,130,Georgia,9687653,4729171,4958482,686785,695161,689684,419922,290077,143471,137251,399358,673935,661625,1397540,1391252,573551,209870,286136,606429,311783,113823,5787440,2950435,32151,710138,5424681,1172045,632892
G150,2010,Hawaii,15,150,Hawaii,1360301,681243,679058,87407,83361,81539,51511,34483,18488,18853,58488,97302,88031,176373,193765,93340,35376,46846,100523,64377,30238,336599,21424,4164,677485,774870,191237,93603
G160,2010,Idaho,16,160,Idaho,1567582,785324,782258,121772,121195,116955,69150,46209,22204,21776,64229,106734,102231,191609,208537,96997,35125,48191,109534,59892,25242,1396487,9810,21441,100909,888916,176018,77050
G170,2010,Illinois,17,170,Illinois,12830632,6292276,6538356,835577,859405,879448,554749,367343,179613,172795,526556,910273,865684,1725890,1870879,807778,284180,381249,849535,524766,234912,9177877,1866414,43963,1452396,6929266,1775572,1006284
G180,2010,Indiana,18,180,Indiana,6483802,3189737,3294065,434075,444821,452171,277231,198284,98994,94313,258719,419530,407815,840830,946768,418515,150022,200606,452335,273501,115272,5467906,591397,18462,278136,3857737,673524,351771
G190,2010,Iowa,19,190,Iowa,3046355,1508319,1538036,202123,200646,200904,124320,92517,47227,44695,121428,197843,184740,364548,439726,204393,72152,96205,224656,153574,74658,2781561,89148,11084,111229,1780957,382858,158469
G200,2010,Kansas,20,200,Kansas,2853118,1415408,1437710,205492,202447,198884,120116,83705,42758,40931,120765,197783,179937,346673,406264,182512,63661,85074,190389,126409,59318,2391044,167864,28150,180127,1551252,384920,193257
G210,2010,Kentucky,21,210,Kentucky,4339367,2134952,2204415,282367,282888,284154,173962,122833,61268,58657,170043,285296,280920,576662,643097,288027,106469,144497,325314,183705,69208,3809537,337520,10120,106982,2680261,389201,249326
G220,2010,Louisiana,22,220,Louisiana,4533372,2219292,2314080,314260,306362,306836,190557,136222,68251,67763,202295,332925,295508,564599,654375,292567,103687,139308,311994,180177,65686,2836192,1452396,30579,141322,2751160,451795,211589
G230,2010,Maine,23,230,Maine,1328361,650056,678305,69520,74116,79013,51884,36426,17408,16566,45672,72681,71943,171376,218575,102441,37823,51837,112651,69293,29136,1264971,15707,8568,18174,788384,174778,92086
G240,2010,Maryland,24,240,Maryland,5773552,2791762,2981790,364488,366868,379029,242579,163662,81013,77465,235220,393548,368494,795572,902204,377989,134879,182900,386357,223159,98126,3359284,1700298,20420,528842,2954304,841797,638692
G250,2010,Massachusetts,25,250,Massachusetts,6547629,3166628,3381001,367087,385687,405613,260536,202220,101248,96372,278048,441525,403616,887149,1012435,432822,156594,213953,456460,301065,145199,5265236,434398,18850,657142,3299258,1085538,759001
G260,2010,Michigan,26,260,Michigan,9883640,4848114,5035526,596286,637784,675216,434782,304817,149350,138484,381238,589583,574566,1277974,1510033,683186,243067,325744,724709,444940,191881,7803120,1400362,62007,387832,5797979,1110456,650417
G270,2010,Minnesota,27,270,Minnesota,5303925,2632132,2671793,355504,355536,352342,220681,147148,72732,70594,212325,372686,342900,681094,807898,349589,120761,159014,354427,222030,106664,4524062,274412,60916,319390,2838901,822997,370851
G280,2010,Mississippi,28,280,Mississippi,2967297,1441240,1526057,210956,205672,208248,130679,93940,45798,43475,121621,199082,188171,374947,416976,186569,67854,92902,214469,121579,44359,1754684,1098385,15030,65091,1816321,259299,138530
G290,2010,Missouri,29,290,Missouri,5988927,2933477,3055450,390237,390463,396925,247811,175975,86528,83511,243250,403239,372228,748616,888572,389985,140830,192463,450490,274025,113779,4958770,693391,27376,184801,3485177,692630,386211
G300,2010,Montana,30,300,Montana,989415,496667,492748,62423,60765,61124,39251,27473,13789,13517,39832,64123,58741,112945,149832,75915,27095,35848,80742,45979,20021,884961,4027,62555,12896,569592,138864,59279
G310,2010,Nebraska,31,310,Nebraska,1826341,906296,920045,131908,128928,122706,75679,53251,26880,25679,76717,129076,116100,220838,258726,117686,41651,53839,123126,84243,39308,1572838,82885,18427,112681,1018226,242563,108592
G320,2010,Nevada,32,320,Nevada,2700551,1363616,1336935,187478,183077,183173,111280,71320,35554,34258,107697,196644,190642,383043,376527,164575,62389,88535,197781,96391,30187,1786688,218626,32062,537100,1628359,278317,133905
G330,2010,New Hampshire,33,330,New Hampshire,1316470,649394,667076,69806,77756,84620,55052,38568,18591,18356,47599,73121,71351,179178,225961,96289,34487,47467,96762,56745,24761,1236050,15035,3150,40853,714885,204409,112445
G340,2010,New Jersey,34,340,New Jersey,8791894,4279600,4512294,541020,564750,587335,372109,225990,108760,106219,326259,553139,556662,1238297,1379196,565623,201084,279458,611434,394948,179611,6029248,1204826,29026,1288491,4525307,1407064,805865
G350,2010,New Mexico,35,350,New Mexico,2059179,1017421,1041758,144981,143308,141691,88692,61169,29935,28237,84198,139678,127567,248523,292009,136799,51238,68899,153794,86468,31993,1407876,42550,193222,338521,1187096,205248,147473
G360,2010,New York,36,360,New York,19378102,9377147,10000955,1155822,1163955,1211456,793696,572582,293083,281596,836256,1380177,1279160,2610017,2878691,1237408,453993,612267,1360602,866467,390874,12740974,3073800,106906,2870573,10497579,2703864,1879762
G370,2010,North Carolina,37,370,North Carolina,9535483,4645492,4889991,632040,635945,631104,382546,277045,141076,136169,384328,627036,619557,1327151,1368646,600722,222924,315115,697567,389051,147461,6528950,2048628,122110,629596,5493451,1200645,575215
G380,2010,North Dakota,38,380,North Dakota,672591,339864,332727,44595,40076,39790,25410,22064,12484,12007,34465,49596,40889,75262,96657,45946,15575,20298,46873,33916,16688,605449,7960,36591,10738,398158,94595,33200
G390,2010,Ohio,39,390,Ohio,11536504,5632156,5904348,720856,747889,774699,487307,336375,163986,157045,442085,718630,691329,1479831,1742191,786857,284403,381006,850234,541352,230429,9539437,1407681,25292,326329,6810641,1297215,707627
G400,2010,Oklahoma,40,400,Oklahoma,3751351,1856977,1894374,264126,259336,253664,152540,111944,56068,54032,159142,265737,241018,460937,525611,235969,85815,118698,280467,164335,61912,2706845,277644,321687,223854,2229375,404532,188346
G410,2010,Oregon,41,410,Oregon,3831074,1896002,1935072,237556,237214,242553,149130,105730,52462,50575,150011,265033,259111,499525,539075,273423,100551,135592,290041,165620,77872,3204614,69206,53203,359292,2179943,509837,282605
G420,2010,Pennsylvania,42,420,Pennsylvania,12702379,6190363,6512016,729538,753635,791151,517831,387235,191942,183257,498947,781527,729592,1615669,1940404,879048,312575,430721,979538,674093,305676,10406288,1377689,26843,653724,7430402,1574306,912063
G440,2010,Rhode Island,44,440,Rhode Island,1052567,508400,544167,57448,60440,63824,42244,37802,19537,18508,44122,65799,61163,136860,162350,70634,25250,34705,73879,51252,26750,856869,60189,6058,94664,597369,144753,87311
G450,2010,South Carolina,45,450,South Carolina,4625364,2250101,2375263,302297,295853,297286,185038,143951,73846,69700,188948,304378,287678,601292,659428,303240,115411,165144,369043,192114,70717,3060000,1290684,19524,175221,2759918,521469,271142
G460,2010,South Dakota,46,460,South Dakota,814180,407381,406799,59621,55531,53960,33685,23943,11907,11739,33950,55570,49859,93112,116918,54231,18999,24574,57627,39728,19226,699392,10207,71817,15481,469198,102996,41745
G470,2010,Tennessee,47,470,Tennessee,6346105,3093504,3252601,407813,412181,418941,257066,180120,89380,86356,250508,417683,406314,854130,926436,414991,155235,215489,487074,266471,99917,4921948,1057315,19994,236839,3811262,691294,356834
G480,2010,Texas,48,480,Texas,25145561,12472280,12673281,1928473,1928234,1881883,1127234,755890,369040,359015,1089024,1853039,1760434,3458382,3435336,1422924,500523,674244,1472256,824451,305179,17701552,2979598,170972,3614438,14033511,2933785,1392272
G490,2010,Utah,49,490,Utah,2763885,1388317,1375568,263924,249572,227951,129580,91510,42204,45173,139142,229554,216133,332475,306964,133122,46154,60965,138224,80247,30991,2379560,29287,32927,246593,1407846,336637,154660
G500,2010,Vermont,50,500,Vermont,625741,308206,317535,31952,34654,37637,24990,21022,10433,9651,23767,35441,34181,78359,102603,48739,17634,23600,49538,28743,12797,596292,6277,2207,10212,342962,95777,58455
G510,2010,Virginia,51,510,Virginia,8001024,3925983,4075041,509625,511849,511246,320957,230008,117445,114918,339728,564342,526077,1108928,1214000,512595,186629,255740,549804,304730,122403,5486852,1551399,29225,700148,4214588,1171792,779862
G530,2010,Washington,53,530,Washington,6724540,3349707,3374833,439657,429877,438233,273587,188541,94086,91883,275543,480398,453383,908305,988205,453078,162454,219633,457220,253186,117271,5196362,240042,103869,871341,3678398,968382,516031
G540,2010,West Virginia,54,540,West Virginia,1852994,913586,939408,104060,106016,109045,68297,51795,25873,24305,67026,108444,112254,237494,276156,139368,53956,71501,163520,97963,35921,1739988,63124,3787,18953,1218633,154456,90264
G550,2010,Wisconsin,55,550,Wisconsin,5686986,2822400,2864586,358443,368617,375927,236505,162704,80763,78216,227573,372347,349347,725666,873753,385986,135437,178388,400496,258313,118505,4902067,359148,54526,266928,3299619,711962,341862
G560,2010,Wyoming,56,560,Wyoming,563626,287437,276189,40203,37213,35955,22031,16111,8377,7974,23967,41276,36373,66966,83577,40946,14123,18444,39568,21920,8602,511279,4748,13336,21902,334405,63476,30113
G720,2010,Puerto Rico,72,720,Puerto Rico,3725789,1785171,1940618,224756,240004,268571,169964,114295,58205,53104,149541,244159,248173,483528,487807,223607,87395,130682,311662,167740,62596,2825100,461498,19839,297106,2247341,423170,149064